V,concentration,target
-0.494977367,0,-9.321100917
-0.453674777,0,-9.291743119
-0.402463323,0,-9.291743119
-0.349587762,0,-9.174311927
-0.306648345,0,-9.291743119
-0.25211474,0,-9.11559633
-0.204222406,0,-9.262385321
-0.15297761,0,-8.939449541
-0.101766156,0,-8.939449541
-0.055510649,0,-8.939449541
0.00067797,0,-8.733944954
0.043629511,0,-8.733944954
0.094856121,0,-8.587155963
0.151047771,0,-8.352293578
0.198973447,0,-8.176146789
0.248569292,0,-7.823853211
0.298177262,0,-7.35412844
0.347782201,0,-6.913761468
0.404007194,0,-6.355963303
0.448707715,0,-5.416513761
0.50005254,0,-4.124770642
0.549809037,0,-2.216513761
0.601320576,0,0.689908257
0.651304409,0,4.8
-0.499857535,1,-8.587155963
-0.450292002,1,-8.528440367
-0.40237845,1,-8.469724771
-0.349511983,1,-8.440366972
-0.303250414,1,-8.381651376
-0.252035929,1,-8.352293578
-0.200818413,1,-8.293577982
-0.15125288,1,-8.234862385
-0.10002627,1,-8.088073394
-0.052100594,1,-7.911926606
-0.00253506,1,-7.853211009
0.048697611,1,-7.647706422
0.098287394,1,-7.35412844
0.149544316,1,-6.913761468
0.19916441,1,-6.326605505
0.247147678,1,-5.59266055
0.29843188,1,-4.888073394
0.34806713,1,-4.15412844
0.399342238,1,-3.537614679
0.45062644,1,-2.833027523
0.498597583,1,-2.216513761
0.549890878,1,-1.423853211
0.601211454,1,-0.366972477
0.649276563,1,1.159633028
0.699102777,1,3.743119266
0.74905933,1,7.588990826
-0.49822374,13.4,-8.763302752
-0.448661238,13.4,-8.733944954
-0.400750717,13.4,-8.704587156
-0.351185184,13.4,-8.64587156
-0.298309623,13.4,-8.528440367
-0.250402134,13.4,-8.528440367
-0.200842663,13.4,-8.528440367
-0.151277129,13.4,-8.469724771
-0.10005355,13.4,-8.352293578
-0.047184052,13.4,-8.293577982
-0.000910358,13.4,-8.117431193
0.051953078,13.4,-8.117431193
0.099872691,13.4,-8
0.149453381,13.4,-7.794495413
0.20235016,13.4,-7.471559633
0.25193388,13.4,-7.236697248
0.299883806,13.4,-6.825688073
0.352783616,13.4,-6.473394495
0.400739603,13.4,-6.003669725
0.452017742,13.4,-5.357798165
0.501668149,13.4,-4.47706422
0.551376147,13.4,-3.03853211
0.602802813,13.4,-0.95412844
0.649376591,13.4,2.128440367
0.705965324,13.4,6.209174312
-0.498296488,30,-9.467889908
-0.448730954,30,-9.409174312
-0.400823465,30,-9.409174312
-0.346301984,30,-9.350458716
-0.298388433,30,-9.291743119
-0.250474882,30,-9.233027523
-0.197608415,30,-9.203669725
-0.151343814,30,-9.11559633
-0.098474316,30,-9.056880734
-0.045604818,30,-8.998165138
0.000662814,30,-8.880733945
0.050237441,30,-8.733944954
0.103106939,30,-8.675229358
0.152687629,30,-8.469724771
0.198961322,30,-8.293577982
0.250190963,30,-8.117431193
0.301426666,30,-7.882568807
0.351016449,30,-7.588990826
0.403922321,30,-7.177981651
0.451890434,30,-6.590825688
0.501559027,30,-5.533944954
0.54798731,30,-3.860550459
0.599465505,30,-1.27706422
0.649385685,30,2.216513761
0.701036657,30,6.473394495
