feature0,target0,,feature1,target1,,feature13_4,target13_4,,feature30,target30
-0.494977367,-9.321100917,,-0.499857535,-8.587155963,,-0.49822374,-8.763302752,,-0.498296488,-9.467889908
-0.453674777,-9.291743119,,-0.450292002,-8.528440367,,-0.448661238,-8.733944954,,-0.448730954,-9.409174312
-0.402463323,-9.291743119,,-0.40237845,-8.469724771,,-0.400750717,-8.704587156,,-0.400823465,-9.409174312
-0.349587762,-9.174311927,,-0.349511983,-8.440366972,,-0.351185184,-8.64587156,,-0.346301984,-9.350458716
-0.306648345,-9.291743119,,-0.303250414,-8.381651376,,-0.298309623,-8.528440367,,-0.298388433,-9.291743119
-0.25211474,-9.11559633,,-0.252035929,-8.352293578,,-0.250402134,-8.528440367,,-0.250474882,-9.233027523
-0.204222406,-9.262385321,,-0.200818413,-8.293577982,,-0.200842663,-8.528440367,,-0.197608415,-9.203669725
-0.15297761,-8.939449541,,-0.15125288,-8.234862385,,-0.151277129,-8.469724771,,-0.151343814,-9.11559633
-0.101766156,-8.939449541,,-0.10002627,-8.088073394,,-0.10005355,-8.352293578,,-0.098474316,-9.056880734
-0.055510649,-8.939449541,,-0.052100594,-7.911926606,,-0.047184052,-8.293577982,,-0.045604818,-8.998165138
0.00067797,-8.733944954,,-0.00253506,-7.853211009,,-0.000910358,-8.117431193,,0.000662814,-8.880733945
0.043629511,-8.733944954,,0.048697611,-7.647706422,,0.051953078,-8.117431193,,0.050237441,-8.733944954
0.094856121,-8.587155963,,0.098287394,-7.35412844,,0.099872691,-8,,0.103106939,-8.675229358
0.151047771,-8.352293578,,0.149544316,-6.913761468,,0.149453381,-7.794495413,,0.152687629,-8.469724771
0.198973447,-8.176146789,,0.19916441,-6.326605505,,0.20235016,-7.471559633,,0.198961322,-8.293577982
0.248569292,-7.823853211,,0.247147678,-5.59266055,,0.25193388,-7.236697248,,0.250190963,-8.117431193
0.298177262,-7.35412844,,0.29843188,-4.888073394,,0.299883806,-6.825688073,,0.301426666,-7.882568807
0.347782201,-6.913761468,,0.34806713,-4.15412844,,0.352783616,-6.473394495,,0.351016449,-7.588990826
0.404007194,-6.355963303,,0.399342238,-3.537614679,,0.400739603,-6.003669725,,0.403922321,-7.177981651
0.448707715,-5.416513761,,0.45062644,-2.833027523,,0.452017742,-5.357798165,,0.451890434,-6.590825688
0.50005254,-4.124770642,,0.498597583,-2.216513761,,0.501668149,-4.47706422,,0.501559027,-5.533944954
0.549809037,-2.216513761,,0.549890878,-1.423853211,,0.551376147,-3.03853211,,0.54798731,-3.860550459
0.601320576,0.689908257,,0.601211454,-0.366972477,,0.602802813,-0.95412844,,0.599465505,-1.27706422
0.651304409,4.8,,0.649276563,1.159633028,,0.649376591,2.128440367,,0.649385685,2.216513761
,,,0.699102777,3.743119266,,0.705965324,6.209174312,,0.701036657,6.473394495
,,,0.74905933,7.588990826,,,,,,
