wavelength,concentration,target
411.4884621,0,97.12185687
424.8673024,0,97.26112186
438.83541,0,97.56286267
455.1212271,0,97.70212766
469.6572354,0,97.72533849
483.6163465,0,97.84139265
499.3128964,0,97.81818182
514.4246773,0,97.72533849
528.959561,0,97.72533849
542.9175476,0,97.81818182
558.615222,0,97.81818182
574.3106473,0,97.77176015
588.2573883,0,97.63249516
603.9528136,0,97.5860735
617.9029283,0,97.51644101
633.5994782,0,97.49323017
649.2960281,0,97.47001934
663.2495164,0,97.47001934
680.6812559,0,97.26112186
694.6279969,0,97.12185687
707.9933426,0,96.98259188
725.4363277,0,97.00580271
739.9678377,0,96.93617021
755.0773694,0,96.79690522
769.0319824,0,96.82011605
783.5657415,0,96.79690522
799.2577932,0,96.68085106
409.1640052,1,97.1450677
424.2870316,1,97.28433269
438.825289,1,97.35396518
452.7956457,1,97.70212766
467.9108002,1,97.67891683
483.0293284,1,97.72533849
499.3117719,1,97.79497099
515.0071972,1,97.74854932
529.5420809,1,97.74854932
543.5034411,1,97.91102515
558.615222,1,97.81818182
574.8875444,1,97.67891683
590.0026989,1,97.655706
604.5353335,1,97.60928433
620.2285097,1,97.51644101
634.7600198,1,97.44680851
649.8762989,1,97.44680851
664.9880797,1,97.35396518
678.9336962,1,97.19148936
695.2082677,1,97.09864603
709.1561333,1,96.98259188
724.273537,1,97.00580271
738.8039225,1,96.91295938
753.9100805,1,96.7040619
770.1913994,1,96.75048356
785.298682,1,96.56479691
800.4172102,1,96.61121857
409.7588952,2.5,97.42359768
424.293779,2.5,97.42359768
439.4179299,2.5,97.5860735
453.9618101,2.5,97.77176015
469.6606091,2.5,97.79497099
484.1988664,2.5,97.86460348
499.3162701,2.5,97.88781431
514.4258018,2.5,97.74854932
529.5420809,2.5,97.74854932
543.5034411,2.5,97.91102515
559.7825109,2.5,97.91102515
574.8942918,2.5,97.81818182
590.0038235,2.5,97.67891683
604.5353335,2.5,97.60928433
620.2273852,2.5,97.49323017
634.764518,2.5,97.53965184
649.878548,2.5,97.49323017
664.4066844,2.5,97.35396518
680.0964869,2.5,97.19148936
694.6291215,2.5,97.1450677
709.7330305,2.5,96.88974855
724.8549323,2.5,97.00580271
739.3864424,2.5,96.93617021
754.4869776,2.5,96.61121857
769.0342315,2.5,96.86653772
785.2818137,2.5,96.21663443
799.2544195,2.5,96.61121857
409.7285322,6,96.79690522
424.8425622,6,96.75048356
439.3841932,6,96.88974855
455.0908641,6,97.0754352
469.6257478,6,97.0754352
484.1640052,6,97.1450677
499.2791597,6,97.12185687
514.9723359,6,97.02901354
530.088615,6,97.02901354
544.6257478,6,97.0754352
559.7397778,6,97.02901354
574.8526832,6,96.95938104
589.9655886,6,96.88974855
605.0807431,6,96.86653772
620.192524,6,96.77369439
634.7251586,6,96.72727273
648.6786469,6,96.72727273
664.3673249,6,96.54158607
680.0571274,6,96.37911025
694.0117404,6,96.40232108
708.5365031,6,96.1934236
725.3969682,6,96.1934236
739.3437092,6,96.05415861
756.1996761,6,95.96131528
768.9903738,6,95.96131528
784.6790518,6,95.77562863
800.3789753,6,95.82205029
409.1235212,13.4,96.30947776
425.4003419,13.4,96.26305609
439.9385993,13.4,96.33268859
455.0773694,13.4,96.79690522
469.0297333,13.4,96.77369439
484.7364041,13.4,96.95938104
498.6898925,13.4,96.95938104
515.5469839,13.4,96.88974855
529.5004723,13.4,96.88974855
544.6178759,13.4,96.91295938
559.1516351,13.4,96.88974855
574.8448113,13.4,96.79690522
589.9565921,13.4,96.7040619
605.0694975,13.4,96.6344294
620.1835275,13.4,96.58800774
634.7161621,13.4,96.54158607
650.412712,13.4,96.51837524
664.9374747,13.4,96.30947776
680.0425082,13.4,96.07736944
695.1587873,13.4,96.07736944
709.6779272,13.4,95.75241779
725.3767262,13.4,95.77562863
739.3167199,13.4,95.49709865
754.4341235,13.4,95.52030948
768.9577617,13.4,95.28820116
785.2402051,13.4,95.35783366
800.3553596,13.4,95.33462282
409.7060411,30,96.33268859
424.8200711,30,96.28626692
439.3605776,30,96.40232108
455.0638748,30,96.51837524
470.1880257,30,96.68085106
484.7206603,30,96.6344294
499.8436867,30,96.77369439
514.9565921,30,96.7040619
530.0694975,30,96.6344294
545.1891503,30,96.7040619
559.724034,30,96.7040619
575.4160856,30,96.58800774
589.3684495,30,96.56479691
605.0537538,30,96.30947776
619.5863884,30,96.26305609
635.2795646,30,96.17021277
649.2308038,30,96.1237911
664.9172327,30,95.89168279
680.0312627,30,95.84526112
694.5549008,30,95.6131528
709.6599343,30,95.38104449
724.7784625,30,95.42746615
740.4592686,30,95.07930368
754.9930278,30,95.05609284
770.1059332,30,94.98646035
784.6340695,30,94.84719536
800.9007692,30,94.59187621
